,user_id,card_index,card_brand,card_type,card_number,expires,cvv,has_chip,cards_issued,credit_limit,acct_open_date,year_pin_last_changed,card_on_dark_web
0,4e98b4b9-f30f-4117-bf0b-49c6b550aba6,0,Visa,Debit,1babcd4449ec29a14074260879c13049,12/2022,623,YES,2,$24295,09/2002,2008,No
1,4e98b4b9-f30f-4117-bf0b-49c6b550aba6,1,Visa,Debit,4a3fd33483704236f3af0d3e5a602f4f,12/2020,393,YES,2,$21968,04/2014,2014,No
2,4e98b4b9-f30f-4117-bf0b-49c6b550aba6,2,Visa,Debit,ea724c282ec208a9c826c2c6bc33b9c7,02/2024,719,YES,2,$46414,07/2003,2004,No
3,4e98b4b9-f30f-4117-bf0b-49c6b550aba6,3,Visa,Credit,e24a12553d70b3b18e2d4b3162d82e13,08/2024,693,NO,1,$12400,01/2003,2012,No
4,4e98b4b9-f30f-4117-bf0b-49c6b550aba6,4,Mastercard,Debit (Prepaid),65f39625b0df0d5f38860ab79ed2e713,03/2009,075,YES,1,$28,09/2008,2009,No
5,8e283e3b-fb65-4d2a-9c7e-b515c94d8402,0,Visa,Credit,e7d5a3485fd2aee05c10414896bb6d0d,09/2003,736,YES,1,$27500,09/2003,2012,No
6,8e283e3b-fb65-4d2a-9c7e-b515c94d8402,1,Visa,Debit,5c160e11298d7de3dd22241d75a028ad,07/2022,972,YES,2,$28508,02/2011,2011,No
7,8e283e3b-fb65-4d2a-9c7e-b515c94d8402,2,Mastercard,Debit,dd54d84b4393b53220133e962ed3c5b5,06/2022,048,YES,2,$9022,07/2003,2015,No
8,8e283e3b-fb65-4d2a-9c7e-b515c94d8402,3,Mastercard,Debit (Prepaid),ec66379b6cff4d872fab0f931ffd6a74,11/2020,722,YES,2,$54,06/2010,2015,No
9,8e283e3b-fb65-4d2a-9c7e-b515c94d8402,4,Mastercard,Debit (Prepaid),d19cbfab769eb10b10615c25e31bcbeb,02/2023,908,YES,1,$99,07/2006,2012,No
10,8c9b9223-c41c-4999-9cff-f72b9c4bcf7c,0,Mastercard,Debit,c0826424b87ec64e446690c891edea5f,03/2022,677,YES,2,$31599,10/2009,2009,No
11,8c9b9223-c41c-4999-9cff-f72b9c4bcf7c,1,Mastercard,Debit,f91356ef4f91ad3b66a1e2ec980815b5,07/2023,258,NO,2,$27480,03/2002,2008,No
12,8c9b9223-c41c-4999-9cff-f72b9c4bcf7c,2,Mastercard,Debit,c1ae0671d9b01510603ef99b7600dccb,02/2020,992,YES,1,$26743,03/2019,2019,No
13,8c9b9223-c41c-4999-9cff-f72b9c4bcf7c,3,Visa,Debit,69f245be2e5e996161bc397c0c520656,06/2020,928,YES,1,$31463,04/2014,2014,No
14,8c9b9223-c41c-4999-9cff-f72b9c4bcf7c,4,Mastercard,Debit,185e4bc43a81c0e208bbf1234675ccc7,06/2024,360,YES,1,$16055,09/2009,2009,No
15,acab43d2-f982-47a1-9b4f-d018d069ae16,0,Visa,Credit,a872e112be0cf178436d3715b0893be1,05/2015,877,YES,2,$98100,01/2011,2011,No
16,acab43d2-f982-47a1-9b4f-d018d069ae16,1,Mastercard,Debit (Prepaid),b3a9cc06f478345e97c5a9d20ccaeb85,06/2020,448,YES,1,$62,02/2007,2007,No
17,acab43d2-f982-47a1-9b4f-d018d069ae16,2,Visa,Debit,aa66dd31066dcd522b2865a25c6e437a,06/2022,053,YES,1,$132439,11/2010,2011,No
18,acab43d2-f982-47a1-9b4f-d018d069ae16,3,Visa,Debit,9fe8cd32c00b7aa82ee825640fcf5bd4,06/2020,649,YES,1,$125723,10/2009,2010,No
